First Target:,UB,UR,UL,LU,LF,LD,LB,FR,FD,FL,RU,RB,RD,RF,BU,BL,BD,BR,DF,DR,DB,DL,,,
UB,,"[R : [U R' U' , M']","[L' : [U' L U , M']]","[U' : [L F' L' , S']]","[M , U L' U']","[l : [U L U' , M']]","[M , U L U']","[U R U' , M']","[U : [R' F' R , S]]","[U' L' U , M']","[U : [R' F R , S]]","[M , U' R' U]","[r' : [U' R' U , M']]","[M , U' R U]",,"[U' L U , M']","[U : [l U l' , S]]","[U R' U' , M']","[U' : [S , R' F' R]]","[R : [U R U' , M']]","[U' : [S , l U l']]","[L' : [U' L' U , M']]",,,
UR,"[R : [M' , U R' U']]",,"[M U : [M' , U2]]","[S , R' F R]","[M' : [r' E r , U]]","[R' : [R' S' R , F]]","[M' : [R E' R' , U]]","[S' : [L E' L' , U]]","[R F : [E , R2]]","[M L' U : [M' , U2]]",,"[R u' R' : [E' , R2]]","[S' , R' F R]","[R' U' E' R : [E , R2]]","[U M U : [M' , U2]]","[l U : [M' , U2]]","[r : [U R' U' , M2]]","[S' : [L' E L , U]]","[r : [U R' U' , M']]","[r' D' R' : [S' , R2]]",[M' : (M' U M U) * 2]],"[U : [L F' L' , S]]",,,
UL,"[L' : [M' , U' L U]]","[M U' : [M' , U2]]",,,"[r U2 : [r' E r , U']]","[S , L F' L']","[L' u L : [E , L2]]","[R M U' : [M' , U2]]","[L' F' : [E' , L2]]","[S : [R' E R , U']]","[S' , L F' L']","[M' : [L' E L , U']]","[L : [L S L' , F']]","[M' : [l E' l' , U']]","[U' M U' : [M' , U2]]","[S : [R E' R' , U']]","[l' : [U' L U , M2]]","[F R' : [S , R2]]","[l' : [U' L U , M']]","[R' F R' : [S , R2]]",[M' : (M' U' M U') * 2],"[l D L : [S , L2]]",,,
LU,"[U' : [S' , L F' L']]","[R' F R , S]",,,"[M : [L' , U' M' U]]","[r' F' r : [S' , L2]]","[M : [L , U' M' U]]","[L E' L' , U]","[R' F : [R S R' , F2]]","[U2 : [R' E R , U]]","[M2 U : [M , U2]]","[L E2 L' , U]",R' U' R U R U R U' R' U',"[L' E2 L , U]","[U M2 U : [M' , U2]]","[U2 : [R E' R' , U]]",D' R' U' R U R U R U' R' U' D,"[L' E L , U]","[L' : [U L U' , M']]","[U2 : [R E R' , U]]",(M U M' U) * 2,"[L' E' L , U]",,,
LF,"[U L' U' , M]","[M' : [U , r' E r]]","[r U : [r' E r , U]]","[M : [U' M' U , L']]",,U2 L' U L U L U L' U' L' U,"[U' L' : [S' , L2]]","[E' , L' U L]","[U' L' U : [M' , U2]]",,"[U' , R E2 R']","[R U' R : [E , R2]]","[U' R : [E , R2]]","[R' U' R : [E , R2]]","[L U : [S' , L2]]","[E , L' U L]","[U L' U' , M2]","[L' : [L' E L , U]]","[U L' U' , M']","[R E : [R' U' R , E]]","[U' l' U : [M' , U2]]","[S' U' R : [E , R2]]",,,
LD,"[L : [U L U' , M]]","[R' : [R' S' R , F]]","[L F' L' , S]","[L U' L : [S' , L2]]",U' L U L U' L' U' L' U' L U2,,U' L' U' L' U L U L U L',"[U E L' : [E , L2]]","[R' F : [R' S' R , F2]]","[U E L : [E' , L2]]","[S' R' F R : [S , R2]]","[U L' : [E , L2]]","[U : [L2 , S]]","[U L : [E' , L2]]","[U : [S' , L2]]","[u L' : [E , L2]]","[S l' : [U' L U , M2]]","[R : [R F R' , S']]","[L' : [U L' U' , M']]","[R F R' , S']","[D L F : [E' , L2]]",,,,
LB,"[U L U' , M]","[M' : [U , R E' R']]","[L' u L' : [E , L2]]","[M : [U' M' U , L]]","[U' L : [S' , L2]]",L U' L' U' L' U' L U L U,,"[L : [L E' L' , U]]","[U' L U : [M' , U2]]","[E' , L U L']","[U' , R' E2 R]","[R U' R' : [E' , R2]]","[U' R' : [E' , R2]]","[R' U' R' : [E' , R2]]","[r' F' : [L2 , E']]",,"[U L U' , M2]","[E , L U L']","[U L U' , M']","[R' E' : [R U' R' , E']]","[U : [L , U M U']]","[S' U' R' : [E' , R2]]",,,
FR,"[M' , U R U']","[S' : [U , L E' L']]","[R M U : [M' , U2]]","[U , L E' L']","[L' U L , E']","[U E L : [E , L2]]","[L : [U , L E' L']]",,"[R2 F : [E , R2]]","[U E R' : [S , R2]]","[U : [L E' L' , U]]","[R' U' R , E]","[U' E' R : [E , R2]]",,"[U : [L E' L' , U2]]","[E' : [R' U' R , E2]]","[M' : [U R U' , M2]]","[E R U' R : [E' , R2]]","[M' : [U R U' , M']]","[U' S U , R']","[U M : [L E' L' , U']]","[M' U' L' : [E' , L2]]",,,
FD,"[U : [S , R' F' R]]","[R F : [R2 , E]]","[L' F' : [L2 , E']]","[R' F' : [R S R' , F2]]",[L : (f2 L2 U L2) * 2],"[R' F' : [R' S' R , F2]]","[U' L U' : [M' , U2]]","[R2 F : [R2 , E]]",,"[U R' F2 : [R S R' , F]]","[L F : [L' S' L , F2]]","[U R' U : [M' , U2]]","[R' F' : [R S' R' , F2]]",[R' : (f2 R2 U' R2) * 2],"[U2 , M']","[F : [E' , L2]]","[M' : [U2 , M']]","[F' : [E , R2]]",,"[R' F' : [E , R2]]","[D' : [R F R' , S']]","[L F : [E' , L2]]",,,
FL,"[M' , U' L' U]","[M L' U' : [M' , U2]]","[S : [U' , R' E R]]","[U' : [R' E R , U']]",,"[U E L' : [E' , L2]]","[L U L' , E']","[U' E' L : [S' , L2]]","[U R' F' : [R S R' , F']]",,"[U' , R' E R]","[R' : [U' , R' E R]]","[U' E' R' : [E' , R2]]","[R U' R' , E]","[U' : [R' E R , U2]]","[E' L' U L' : [E , L2]]","[M' : [U' L' U , M2]]","[r U R : [E , R2]]","[M' : [U' L' U , M']]","[M' U R : [E , R2]]","[U' M : [R' E R , U]]","[U S U' , L]",,,
RU,"[U : [S , R' F R]]",,"[L F' L' , S']","[M2 U' : [M , U2]]","[R E2 R' , U']",L U L' U' L' U' L' U L U,"[R' E2 R , U']","[U2 : [L E' L' , U']]","[L F' : [L' S' L , F2]]","[R' E R , U']",,"[E : [R E' R' , U']]","[R U R' : [S , R2]]","[M : [R , U M' U']]","[R2 U' : [S , R2]]","[R E' R' , U']","[R : [U' R' U , M2]]","[U2 : [L' E L , U']]","[R : [U' R' U , M']]","[R E R' , U']",(M U' M' U') * 2,"[U2 : [L' E' L , U']]",,,
RB,"[U' R' U , M]","[R u' R : [E' , R2]]","[M' : [U' , L' E L]]","[U , L E2 L']","[R U' R' : [E , R2]]","[U L : [E , L2]]","[R U' R : [E' , R2]]","[E , R' U' R]","[U R' U' : [M' , U2]]","[R' : [R' E R , U']]","[M : [U M' U' , R']]",,R' U R U R U R' U' R' U',"[U R' : [S , R2]]","[R U' : [S , R2]]","[E' , R' U' R]","[U' R' U , M2]",,"[U' R' U , M']","[D' : [U' R' U , M']]","[U : [R' , U' M U]]","[D : [U' R' U , M']]",,,
RD,"[R' : [U' R' U , M]]","[R' F R , S']","[L : [F' , L S L']]",U R U R' U' R' U' R' U R,"[U' R' : [E , R2]]","[U' : [R2 , S']]","[U' R : [E' , R2]]","[U' E' R' : [E , R2]]","[R' F : [R S' R' , F2]]","[U' E' R : [E' , R2]]","[R' U l' : [E' , R2]]",U R U R U' R' U' R' U' R,,U R' U' R' U R U R U R' U2,"[U' : [S , R2]]","[u' R' : [E , R2]]","[S' r : [U R' U' , M2]]","[u' R : [E' , R2]]","[R : [U' R U , M']]",,"[D' R' F' : [E , R2]]","[L' F' L , S]",,,
RF,"[U' R U , M]","[R' U' E' R' : [E , R2]]","[M' : [U' , l E' l']]","[U , L' E2 L]","[R' U' R' : [E , R2]]","[U L' : [E' , L2]]","[R' U' R : [E' , R2]]",,"[U R U' : [M' , U2]]","[E , R U' R']","[M : [U M' U' , R]]","[U R : [S , R2]]",U2 R U' R' U' R' U' R U R U',,"[R' U' : [S , R2]]","[R : [R E' R' , U']]","[U' R U , M2]","[E' , R U' R']","[U' R U , M']","[D' : [U' R U , M']]","[U r U' : [M' , U2]]","[L' E' : [L U L' , E']]",,,
BU,,"[U' M' U' : [M , U2]]","[U M' U : [M , U2]]","[U' M2 U' : [M , U2]]","[L U : [L2 , S']]","[U : [L2 , S']]","[r' F : [L2 , E']]","[U' : [L E' L' , U2]]","[M' , U2]","[U : [R' E R , U2]]","[R2 U' : [R2 , S]]","[R U' : [R2 , S]]","[U' : [R2 , S]]","[R' U' : [R2 , S]]",,"[U : [R E' R' , U2]]","[U2 , M]","[U' : [L' E L , U2]]","[U M U : [M , U2]]","[U : [R E R' , U2]]","[U' M' U : [M' , U2]]","[U' : [L' E' L , U2]]",,,
BL,"[M' , U' L U]","[l U' : [M' , U2]]","[S : [U' , R E' R']]","[U' : [R E' R' , U']]","[L' U L , E]","[u L : [E , L2]]",,"[E : [R' U' R , E2]]","[F : [L2 , E']]","[M' U r : [E , L2]]","[U' , R E' R']","[R' U' R , E']","[u' R : [E , R2]]","[R : [U' , R E' R']]","[U' : [R E' R' , U2]]",,"[M' : [U' L U , M2]]","[u R' : [S , R2]]","[M' : [U' L U , M']]","[M' U R' : [E' , R2]]","[U' M : [r E' r' , U]]","[D M D' , L']",,,
BD,"[U : [S , l U l']]","[R M : [U R' U' , M2]]","[L' M : [U' L U , M2]]",D' U R U R' U' R' U' R' U R D,"[M2 , U L' U']","[l' M' : [U L' U' , M2]]","[M2 , U L U']","[M : [U R U' , M2]]","(u2 , M') * 2","[M : [U' L' U , M2]]","[r M' : [U' R' U , M2]]","[M2 , U' R' U]","[r M' : [U' R U , M2]]","[M2 , U' R U]","[M , U2]","[M : [U' L U , M2]]",,"[M : [U R' U' , M2]]","[D : [R F R' , S']]","[U' : [S , R' B R]]",,"[U : [S , L B' L']]",,,
BR,"[M' , U R' U']","[S' : [U , L' E L]]","[F R : [S , R2]]","[U , L' E L]","[L' : [U , L' E L]]","[R : [S' , R F R']]","[L U L' , E]","[M' U' l' : [E' , R2]]","[F' : [R2 , E]]","[r U R' : [E , R2]]","[U : [L' E L , U]]",,"[u' R' : [E' , R2]]","[R U' R' , E']","[U : [L' E L , U2]]","[u' L : [S' , L2]]","[M' : [U R' U' , M2]]",,"[M' : [U R' U' , M']]","[D' M D , R]","[U M : [l' E l , U']]","[F R' : [S' , R2]]",,,
DF,"[U' : [R' F' R , S]]","[r : [M' , U R' U']]","[l' : [M' , U' L U]]","[M' , L' U L U']","[M' , U L' U']","[l' : [U L' U' ,  M]]","[M' , U L U']","[M2 : [U R U' , M]]",,"[M2 : [U' L' U , M]]","[M' , R U' R' U]","[M' , U' R' U]","[r : [U' R U , M]]","[M' , U' R U]","[U' M U : [M , U2]]","[M2 : [U' L U , M]]","[D : [S' , R F R']]","[M2 : [U R' U' , M]]",,"[R' : [D R D' , M]]","[U : [M U M' , d2]]","[L : [D' L' D , M]]",,,
DR,"[R : [M' , U R U']]","[r' D' R : [S' , R2]]","[R' F R : [S , R2]]","[U' : [R E R' , U']]","[U' : [S' , R' F2 R]]","[S' , R F R']","[R' E2 : [R U' R' , E]]","[R' , U' S U]","[R' F' : [R2 , E]]","[M' U R' : [E , R2]]","[U' , R E R']","[D' : [M' , U' R' U]]",,"[D' : [M' , U' R U]]","[U' : [R E R' , U2]]","[M' U R : [E' , R2]]","[U' : [R' B R , S]]","[R , U' S U]","[R' : [M , D R D']]",,(D M D M') * 2,"[R' F R' : [S' , L2]]",,,
DB,"[U' : [l U l' , S]]",[M' : (U' M' U' M) * 2],[M' : (U M' U M) * 2,(U' M U' M') * 2,"[U2 : [M , U' L' U]]","[D L F : [L2 , E']]","[U2 : [M , U' L U]]","[U M : [U' , L E' L']]","[D' : [S' , R F R']]","[U' M : [U , R' E R]]",(U M U M') * 2,"[U2 : [M , U R' U']]","[D' R' F' : [R2 , E]]","[U2 : [M , U R U']]","[U M' U : [M' , U2]]","[U' M : [U , r E' r']]",,"[U M : [U' , l' E l]]","[U : [M' U' M , d2]]",(M D' M' D') * 2,,(M D M' D) * 2,,,
DL,"[L' : [M' , U' L' U]]","[U : [S , L F' L']]","[l D L' : [S , L2]]","[U , L' E' L]","[S' U' R' : [E , R2]]",,"[S' U' R : [E' , R]]","[M' U' L : [E' , L2]]","[L F : [L2 , E']]","[L , U S' U']","[U : [L' E' L , U]]","[D : [M' , U R' U']]","[S , L' F' L]","[D : [M' , U' R U]]","[U : [L' E' L , U2]]","[L' , U S' U']","[U : [L B' L' , S']]","[F R : [S' , R2]]","[L : [M , D L' D']]","[R' F R : [S' , R2]]",(D' M D' M') * 2,,,,
