1st Target:,UBL,UBR,UFL,LUB,LUF,LDF,LDB,FUL,FDR,FDL,RUB,RDB,RDF,BUR,BUL,BDL,BDR,DFL,DFR,DBR,DBL,,,,
UBL,,"[l' : [R' D2 R , U]]","[R' U' D' : [R' D R , U']]",,"[l D R' : [F2 , R D' R' D']]","[U2 , R' D R]","[U : [R D' R' , U2]]","[l' U' D' : [R D R' , U2]]","[U D : [R D R' , U2]]","[D' U : [R D' R' , U2]]","[R' U D R : [D' , R U' R']]","[U : [R D R' , U2]]","[U2 , R' D' R]","[R' U' D : [R D R' , U2]]",,"[U D' : [R D R' , U2]]","[U D : [R D' R' , U2]]","[R F' R' U : [R D R' , U2]]","[R2 : [R2 D R2 D' R2 , U]]","[R D' R' : [U2 , R' D R]]","[R' U' D' R : [D , R U' R']]",,,,
UBR,"[l' : [U , R' D2 R]]",,"[R F R' : [U , R' D' R]]","[R : [R D R' , U]]","[l U l' , F]","[U , R' D R]","[R D' R' , U']","[R : [R D R' , U2]]","[D' : [U , R' D R]]","[D : [U , R' D' R]]",,"[R D R' , U']","[U , R' D' R]",,"[R' : [U2 , R' D' R]]","[D' : [R D R' , U']]","[D : [R D' R' , U']]","[R F' : [D , R' U' R]]","[U , R' D R U' R D' R']","[R D' R' U R' D R , U']","[R' B : [R U R' , D']]",,,,
UFL,"[R' D' U : [U , R' D R]]","[R F R' : [R' D' R , U]]",,"[U' R : [U2 , R D R']]",,"[U' , R' D R]","[U2 : [R D' R' , U]]",,"[D' : [U' , R' D R]]","[D : [U' , R' D' R]]","[U' R' : [R' D' R , U2]]","[U2 : [R D R' , U]]","[U' , R' D' R]","[R' D' : [R' D R , U']]","[U' R' : [R' D' R , U']]","[D : [U' , R' D R]]","[D' : [U' , R' D' R]]","[U' : [F2 , U R' U' R]]","[U' , R' D U' R D' R']","[R D' R' : [U' , R' D R]]","[R' D' R : [D , R U' R']]",,,,
LUB,,"[R : [U , R D R']]","[U' R : [R D R' , U2]]",,"[U' : [R' U R U' , F]]","[U R' : [R' D R , U']]","[R D' : [U , R D R']]","[l' U' : [R D' R' , U2]]",U' R' F R U R U' R' F' R U R',"[R U : [U , R' D R]]","[R : [U , R2 D R2 D' R2]]","[U' R : [D' , R U' R']]","[U R' U' : [R D R' , U']]","[F' L F , R']",,"[U D R' : [R' D R , U']]","[R U : [U , R' D' R]]","[D' R : [U , R D' R']]","[U R' D' : [R' D' R , U']]","[D R : [U , R D' R']]","[R : [U , R D' R']]",,,,
LUF,"[l D R' : [R D' R' D' , F2]]","[F , l U l']",,"[U' : [F , R' U R U']]",,"[R' U' : [R U R' , D]]","[U' R U' : [R' U R , D']]",,"[R : [R' U R U' , F]]","[D R' U' : [R U R' , D']]","[R U' D' R' : [R' U R , D]]","[U' R U' : [R' U R , D]]","[R' U' : [R U R' , D']]","[R' F : [D , R U R']]","[F , l U' l']","[F , l U2 l']","[F : [R U R' , D']]","[U' R' U : [D , R U' R']]","[U' D' R' U : [D , R U' R']]","[R U' R' : [R' U R , D]]","[U' D R' U : [D , R U' R']]",,,,
LDF,"[R' D R , U2]","[R' D R , U]","[R' D R , U']","[U R' : [U' , R' D R]]","[R' U' : [D , R U R']]",,"[R' D R : [R U R' , D]]","[D R' : [R D' R' D , F2]]","[U : [R U' R' , D]]",,"[U R U' : [R' D R , U2]]","[U D' : [R U' R' , D2]]","[U R' D' : [R U' R' , D2]]","[R' U : [D , R U' R']]","[U' R' D : [R' D' R , U']]","[U D : [D , R U' R']]","[R' D R : [R U R' , D']]",,"[U D R D' : [R' D R , U']]","[U R : [R U' R' , D]]","[D R : [F2 , R' U R U']]",,,,
LDB,"[U' : [R D' R' , U2]]","[U' , R D' R']","[U' : [R D' R' , U']]","[R D' : [R D R' , U]]","[U' R U' : [D' , R' U R]]","[R' D R : [D , R U R']]",,"[D R U : [R' D R , U2]]","[U R U2 : [R D' R' , U]]","[D : [R U R' , D]]","[U R : [U2 , R D' R']]","[R D : [R' U R , D2]]","[R U R' , D2]","[R , U' L U]","[U2 R : [U , R D' R']]",,"[D' : [R U R' , D']]","[D L' U: [U' L U L' , F2]]","[D : [U L' U' , R2]]","[R D' R' : [U , R' D R]]",,,,,
FUL,"[l' D' U : [R D R' , U2]]","[R : [U2 , R D R']]",,"[l' U : [R D' R' , U2]]",,"[D R' : [F2 , R D' R' D]]","[D' R U' : [R' D' R , U2]]",,"[R' : [F2 , R D' R' D]]","[R U' : [R' D R , U2]]",L�f f l2 F�f D F D�fl2�f U f�f,"[D' R' : [F2 , R D' R' D]]","[D R U' : [R' D' R , U2]]","[R D' U' : [R' D' R , U2]]","[R2 U' R U' : [R' D' R , U2]]","[D2 R' : [F2 , R D' R' D]]","[R U' : [R' D' R , U2]]","[L : [L' D L D' , F2]]","[D' L : [L' D L D' , F2]]","[D R : [U2 , R D' R']]","[R : [U2 , R D' R']]",,,,
FDR,"[D U' : [R D R' , U2]]","[D' : [R' D R , U]]","[D' : [R' D R , U']]",R U' R' F R U R' U' R' F' R U,"[R : [F , R' U R U']]","[U : [D , R U' R']]","[U R U' : [R D' R' , U']]","[R' : [R D' R' D , F2]]",,"[F : [R U' R' , D]]","[U' R' U' : [R D R' , U2]]","[U : [D' , R U' R']]",,"[D' R' U : [D , R U' R']]","[U' R' U' : [R D R' , U']]","[U D2 : [R U' R' , D2]]","[D R D' : [R' U' R , D2]]","[R : [F2 , R' U R U']]",,"[U R D' : [R' D R , U']]","[R , U L2 U']",,,,
FDL,"[D' U' : [R D' R' , U2]]","[D : [R' D' R , U]]","[D : [R' D' R , U']]","[R U : [R' D R , U]]","[D R' U' : [D' , R U R']]",,"[D2 : [R U R' , D']]","[R U : [R' D R , U2]]","[F : [R U' R' , D]]",,"[U L : [L' D L D' , F2]]","[R D : [R' U' R , D]]","[R U R' , D]","[R' F : [D , R U' R']]","[D R' : [R' U R , D]]","[D' R D : [R' U' R , D2]]","[D' : [R U R' , D2]]",,"[L' U: [U' L U L' , F2]]","[D R : [U' , R D' R']]","[D R D : [R' D' R , U]]",,,,
RUB,"[R' D U R : [R U' R' , D']]",,"[U' R' : [U2 , R' D' R]]","[R : [R2 D R2 D' R2 , U]]","[R U' D' R' : [D , R' U R]]","[U R U : [R' D R , U2]]","[U R : [R D' R' , U2]]",f U' l2 D F' D' F l2 f' L,"[U' R' U : [R D R' , U2]]","[U L : [F2 , L' D L D']]",,"[U R U : [R' D' R , U2]]",R U R2' U' R' F' R U R2 U' R' F,,"[U R : [R D R' , U2]]","[U' R' U : [R D' R' , U2]]","[U' R : [B2 , R' D R D']]","[U' R' : [U2 , R' D R]]","[U R' : [R D' R' D , F2]]","[U' D L' : [L D' L' D , B2]]","[U' L' : [B2 , L D' L' D]]",,,,
RDB,"[U' : [R D R' , U2]]","[U' , R D R']","[U' : [R D R' , U']]","[U' R : [R U' R' , D']]","[U' R U' : [D , R' U R]]","[U D : [R U' R' , D2]]","[R D' : [R' U R , D2]]","[D2 R' D : [F2 , D' R D R']]","[U : [R U' R' , D']]","[R D : [D , R' U' R]]","[U R U' : [R' D' R , U2]]",,"[R D' : [U , R' D R]]","[U' R U : [D , R' U' R]]","[R' U : [U , R' D' R]]","[U' : [D' , R' U' R]]",,"[U' R' : [U , R' D R]]","[D' R : [F2 , R' U R U']]",,"[U' R' D' : [R D R' , U']]",,,,
RDF,"[R' D' R , U2]","[R' D' R , U]","[R' D' R , U']","[U R' U2 : [R D R' , U]]","[R' U' : [D' , R U R']]","[U R' D : [R U' R' , D2]]","[D2 , R U R']","[D R U : [R' D' R , U2]]",,"[D , R U R']",F' R U R2 U' R' F R U R2 U' R',"[R D' : [R' D R , U]]",,"[R' U : [D' , R U' R']]","[R' : [R' U R , D]]","[U R' D2 : [R U' R' , D]]","[D' , R U R']","[R D : [R' D' R , U]]",,"[U D' L' : [F2 , L U' L' U]]","[R : [U' , R D' R']]",,,,
BUR,"[R' U D : [R D R' , U2]]",,"[R' D' : [U' , R' D R]]","[R' , F' L F]]","[R' F : [R U R' , D]]","[R' U : [R U' R' , D]]","[U' L U , R]","[R U D' : [R' D' R , U2]]","[D' R' U : [R U' R' , D]]","[R' F : [R U' R' , D]]",,"[U' R U : [R' U' R , D]]","[R' U : [R U' R' , D']]",,"[U' L' U , R]","[D R' U : [R U' R' , D]]","[R U' : [D , R' U R]]","[D' R U' : [D' , R' U R]]","[U R' U' : [D' , R U R']]","[D R U' : [D' , R' U R]]","[R U' : [D' , R' U R]]",,,,
BUL,,"[R2 : [D' , R U2 R']]","[U' R' : [U' , R' D' R]]",,"[l U' l' , F]","[U' R' D : [U' , R' D R]]","[U2 R : [R D' R' , U]]","[R2 U' R U : [R' D' R , U2]]","[U' R' U2 : [R D R' , U]]","[D R' : [D , R' U R]]","[U R : [U2 , R D R']]","[R' U : [R' D' R , U]]","[R' : [D , R' U R]]","[R , U' L' U]",,"[R' D : [R' U R , D2]]","[D' R' : [D , R' U R]]","[U' R' : [U' , R' D R]]","[U' D' R' : [U' , R' D R]]","[U R : [R U' R' , D']]","[U' D R' : [U' , R' D R]]",,,,
BDL,"[D' U' : [R D R' , U2]]","[D' : [U' , R D R']]","[D : [R' D R , U']]","[U D R' : [U' , R' D R]]","[l U2 l', F]","[U D : [R U' R' , D]]",,"[D R' D : [F2 , D' R D R']]","[U : [R U' R' , D2]]","[D' R D' : [R' U' R , D2]]","[U' R' U' : [R D' R' , U2]]","[U' : [R' U' R , D']]","[U R' D' : [R U' R' , D']]","[D R' U : [D , R U' R']]","[R' D' : [R' U R , D2]]",,"[U2 : [L , U R' U']]","[D' U' R' D' : [R D R' , U']]","[U' D' R' : [U , R' D R]]","[U R : [R U' R' , D2]]",,,,,
BDR,"[D U' : [R D' R' , U2]]","[D : [U' , R D' R']]","[D' : [R' D' R , U']]","[R U : [R' D' R , U]]","[F : [D' , R U R']]","[R' D R : [D' , R U R']]","[D2 : [R U R' , D]]","[R U : [R' D' R , U2]]","[D R D : [R' U' R , D2]]","[D : [R U R' , D2]]","[U' R : [R' D R D' , B2]]",,"[R U R' , D']","[R U' : [R' U R , D]]","[D' R' : [R' U R , D]]","[U' : [R' , U' L U]]",,"[D' R : [U' , R D' R']]","[D' R D : [R' D' R , U]]",,"[R U' D' : [R' U R , D2]]",,,,
DFL,"[R F' R' U' : [R D R' , U2]]","[R F' : [R' U' R , D]]","[U' : [U R' U' R , F2]]","[D' R : [R D' R' , U]]","[U' R' U : [R U' R' , D]]",,"[D L' U : [F2 , U' L U L']]","[L : [F2 , L' D L D']]","[R : [R' U R U' , F2]]",,"[U' R' : [R' D R , U2]]","[U' R' : [R' D R , U]]","[R D : [U , R' D' R]]","[D' R U' : [R' U R , D']]","[U' R' : [R' D R , U']]","[U' D' R' D' : [U' , R D R']]","[D' R : [R D' R' , U']]",,"[U D : [D' R D R' , F2]]","[R U' R' : [R' U R , D2]]","[r D r' , F2]",,,,
DFR,"[R2 : [U , R2 D R2 D' R2]]","[R' D R U' R D' R' , U]","[R' D R U' R D' R' , U']","[U R' D' : [U' , R' D' R]]","[U' D' R' U : [R U' R' , D]]","[U D R D' : [U' , R' D R]]","[D : [R2 , U L' U']]","[D' L : [F2 , L' D L D']]",,"[L' U : [F2 , U' L U L']]","[U R' : [F2 , R D' R' D]]","[D' R : [R' U R U' , F2]]",,"[U R' U' : [R U R' , D']]","[U' D' R' : [R' D R , U']]","[U' D' R' : [R' D R , U]]","[D' R D : [U , R' D' R]]","[U D : [F2 , D' R D R']]",,"[U : [D' R D R' , F2]]","[R2 : [R2 U' R2 U R2 , D']]",,,,
DBR,"[R D' R' : [R' D R , U2]]","[U' , R D' R' U R' D R]","[R D' R' : [R' D R , U']]","[D R : [R D' R' , U]]","[R U' R' : [D , R' U R]]","[U R : [D , R U' R']]","[R D' R' : [R' D R , U]]","[D R : [R D' R' , U2]]","[U R' D' : [U' , R' D R]]","[D R : [R D' R' , U2]]","[U' D L' : [B2 , L D' L' D]]",,"[D' L' U : [F2 , U' L U L']]","[D R U' : [R' U R , D']]","[U R : [D' , R U' R']]","[U R : [D2 , R U' R']]",,"[R U' R' : [D2 , R' U R]]","[U : [F2 , D' R D R']]",,"[R U' R' : [D' , R' U R]]",,,,
DBL,"[R' D' U' R : [R U' R' , D]]","[R' B : [D' , R U R']]","[R' D' R : [R U' R' , D]]","[R : [R D' R' , U]]","[U' D R' U : [R U' R' , D]]","[D R : [R' U R U' , F2]]",,"[R : [R D' R' , U2]]","[U L2 U' , R]","[D R D : [U , R' D' R]]","[U' L' : [B2 , L D' L' D]]","[U : [D' R' D , L2]]","[R : [R D' R' , U']]","[R U' : [R' U R , D']]","[U' D R' : [R' D R , U']]",,"[R U' D : [R' U R , D2]]","[F2 , r D r']","[R2 : [D' , R2 U' R2 U R2]]","[R U' R' : [R' U R , D']]",,,,,
